,location,total_sqft,bath,price,BHK,total_price_per_sqft,area_type_Carpet  Area,area_type_Plot  Area,area_type_Super built-up  Area
61,5th Phase JP Nagar,552.0,1.0,23.5,1.0,4257.246376811594,0.0,0.0,1.0
62,5th Phase JP Nagar,1200.0,2.0,51.0,2.0,4250.0,0.0,0.0,1.0
66,5th Phase JP Nagar,1030.0,2.0,57.0,2.0,5533.980582524272,0.0,0.0,0.0
67,5th Phase JP Nagar,1200.0,2.0,68.0,2.0,5666.666666666667,0.0,0.0,1.0
68,5th Phase JP Nagar,1190.0,2.0,61.8,2.0,5193.27731092437,0.0,0.0,0.0
69,5th Phase JP Nagar,4000.0,5.0,170.0,5.0,4250.0,0.0,0.0,1.0
70,5th Phase JP Nagar,1080.0,2.0,53.0,2.0,4907.407407407408,0.0,0.0,1.0
71,5th Phase JP Nagar,1041.0,2.0,54.0,2.0,5187.319884726225,0.0,0.0,1.0
72,5th Phase JP Nagar,812.0,2.0,42.0,2.0,5172.413793103448,0.0,0.0,1.0
73,5th Phase JP Nagar,1010.0,2.0,57.0,2.0,5643.564356435643,0.0,0.0,0.0
75,5th Phase JP Nagar,1075.0,2.0,60.0,2.0,5581.395348837209,0.0,0.0,1.0
76,6th Phase JP Nagar,1192.0,2.0,74.0,2.0,6208.053691275168,0.0,0.0,1.0
77,6th Phase JP Nagar,1180.0,2.0,80.0,2.0,6779.661016949152,0.0,0.0,1.0
78,6th Phase JP Nagar,3245.0,4.0,250.0,4.0,7704.160246533128,0.0,0.0,1.0
79,6th Phase JP Nagar,1645.0,3.0,100.0,3.0,6079.0273556231,0.0,0.0,0.0
80,6th Phase JP Nagar,1140.0,2.0,65.0,2.0,5701.754385964912,0.0,0.0,0.0
81,6th Phase JP Nagar,2040.0,3.0,200.0,3.0,9803.921568627451,0.0,0.0,1.0
82,6th Phase JP Nagar,1213.0,2.0,63.0,2.0,5193.734542456719,0.0,0.0,1.0
83,6th Phase JP Nagar,1216.0,2.0,60.0,2.0,4934.210526315789,0.0,0.0,0.0
84,6th Phase JP Nagar,1460.0,2.0,80.0,2.0,5479.45205479452,0.0,0.0,1.0
85,6th Phase JP Nagar,2003.0,3.0,200.0,3.0,9985.022466300548,0.0,0.0,1.0
86,6th Phase JP Nagar,1810.0,3.0,131.0,3.0,7237.5690607734805,0.0,0.0,1.0
87,6th Phase JP Nagar,1515.0,2.0,135.0,3.0,8910.89108910891,0.0,0.0,1.0
88,6th Phase JP Nagar,1192.0,2.0,75.0,2.0,6291.946308724832,0.0,0.0,1.0
89,6th Phase JP Nagar,1280.0,2.0,88.0,2.0,6875.0,0.0,0.0,1.0
90,7th Phase JP Nagar,1080.0,2.0,72.0,2.0,6666.666666666667,0.0,0.0,0.0
91,7th Phase JP Nagar,1270.0,2.0,93.0,2.0,7322.834645669292,0.0,0.0,1.0
92,7th Phase JP Nagar,1420.0,2.0,100.0,3.0,7042.2535211267605,0.0,0.0,0.0
93,7th Phase JP Nagar,1850.0,3.0,150.0,3.0,8108.108108108108,0.0,0.0,0.0
94,7th Phase JP Nagar,1245.0,2.0,94.0,2.0,7550.2008032128515,0.0,0.0,0.0
95,7th Phase JP Nagar,1175.0,2.0,82.0,2.0,6978.723404255319,0.0,0.0,1.0
96,7th Phase JP Nagar,1400.0,2.0,95.0,3.0,6785.714285714285,0.0,0.0,1.0
97,7th Phase JP Nagar,2225.0,3.0,160.0,3.0,7191.011235955056,0.0,0.0,1.0
98,7th Phase JP Nagar,1050.0,2.0,71.0,2.0,6761.9047619047615,0.0,0.0,0.0
99,7th Phase JP Nagar,1100.0,2.0,46.0,2.0,4181.818181818182,0.0,0.0,1.0
100,7th Phase JP Nagar,918.0,2.0,50.49,2.0,5500.0,0.0,0.0,0.0
101,7th Phase JP Nagar,1450.0,2.0,100.0,3.0,6896.551724137931,0.0,0.0,1.0
102,7th Phase JP Nagar,1190.0,2.0,49.98,2.0,4200.0,0.0,0.0,1.0
103,7th Phase JP Nagar,1420.0,2.0,96.0,3.0,6760.56338028169,0.0,0.0,1.0
104,7th Phase JP Nagar,1680.0,3.0,120.0,3.0,7142.857142857143,0.0,0.0,1.0
105,7th Phase JP Nagar,980.0,2.0,69.0,2.0,7040.816326530612,0.0,0.0,1.0
106,7th Phase JP Nagar,1180.0,2.0,72.0,2.0,6101.6949152542375,0.0,0.0,1.0
110,7th Phase JP Nagar,1400.0,3.0,115.0,3.0,8214.285714285714,0.0,0.0,0.0
111,7th Phase JP Nagar,1270.0,2.0,83.0,2.0,6535.433070866142,0.0,0.0,1.0
113,7th Phase JP Nagar,2503.0,4.0,188.0,4.0,7510.986815821015,0.0,0.0,1.0
114,7th Phase JP Nagar,2200.0,3.0,190.0,3.0,8636.363636363636,0.0,0.0,1.0
117,7th Phase JP Nagar,1575.0,2.0,110.0,3.0,6984.126984126984,0.0,0.0,1.0
118,7th Phase JP Nagar,1850.0,3.0,140.0,3.0,7567.5675675675675,0.0,0.0,1.0
119,7th Phase JP Nagar,1575.0,2.0,120.0,3.0,7619.047619047619,0.0,0.0,0.0
120,7th Phase JP Nagar,1850.0,3.0,150.0,3.0,8108.108108108108,0.0,0.0,1.0
121,7th Phase JP Nagar,1680.0,3.0,120.0,3.0,7142.857142857143,0.0,0.0,1.0
122,7th Phase JP Nagar,1175.0,2.0,82.5,2.0,7021.276595744681,0.0,0.0,1.0
125,7th Phase JP Nagar,1215.0,2.0,90.0,2.0,7407.407407407408,0.0,0.0,1.0
126,7th Phase JP Nagar,1050.0,2.0,75.0,2.0,7142.857142857143,0.0,0.0,1.0
127,7th Phase JP Nagar,1300.0,3.0,89.13,3.0,6856.153846153846,0.0,0.0,1.0
128,7th Phase JP Nagar,1130.0,2.0,73.0,2.0,6460.1769911504425,0.0,0.0,1.0
129,7th Phase JP Nagar,1450.0,3.0,100.0,3.0,6896.551724137931,0.0,0.0,1.0
131,7th Phase JP Nagar,1050.0,2.0,50.0,2.0,4761.9047619047615,0.0,0.0,1.0
132,7th Phase JP Nagar,1275.0,2.0,87.0,2.0,6823.529411764706,0.0,0.0,1.0
134,7th Phase JP Nagar,1650.0,3.0,110.0,3.0,6666.666666666667,0.0,0.0,1.0
135,7th Phase JP Nagar,850.0,2.0,42.0,2.0,4941.176470588235,0.0,0.0,0.0
136,7th Phase JP Nagar,1680.0,3.0,117.0,3.0,6964.285714285715,0.0,0.0,0.0
137,7th Phase JP Nagar,1850.0,3.0,150.0,3.0,8108.108108108108,0.0,0.0,1.0
138,7th Phase JP Nagar,1236.0,2.0,61.33,2.0,4961.974110032363,0.0,0.0,1.0
139,7th Phase JP Nagar,1000.0,2.0,53.0,2.0,5300.0,0.0,0.0,1.0
140,7th Phase JP Nagar,1680.0,3.0,125.0,3.0,7440.476190476191,0.0,0.0,1.0
141,7th Phase JP Nagar,1675.0,2.0,135.0,3.0,8059.701492537313,0.0,0.0,1.0
142,7th Phase JP Nagar,1187.0,2.0,59.0,2.0,4970.513900589722,0.0,0.0,1.0
143,7th Phase JP Nagar,1850.0,3.0,155.0,3.0,8378.378378378378,0.0,0.0,1.0
144,7th Phase JP Nagar,1000.0,2.0,61.0,2.0,6100.0,0.0,0.0,0.0
145,7th Phase JP Nagar,1460.0,2.0,100.0,3.0,6849.315068493151,0.0,0.0,1.0
146,7th Phase JP Nagar,1650.0,3.0,110.0,3.0,6666.666666666667,0.0,0.0,1.0
147,7th Phase JP Nagar,1200.0,2.0,62.5,2.0,5208.333333333333,0.0,0.0,1.0
148,7th Phase JP Nagar,1000.0,2.0,70.65,2.0,7065.000000000001,0.0,0.0,1.0
149,7th Phase JP Nagar,1080.0,2.0,75.0,2.0,6944.444444444444,0.0,0.0,1.0
151,7th Phase JP Nagar,1680.0,3.0,125.0,3.0,7440.476190476191,0.0,0.0,1.0
152,7th Phase JP Nagar,1460.0,2.0,97.0,3.0,6643.835616438356,0.0,0.0,1.0
153,7th Phase JP Nagar,1120.0,2.0,65.0,2.0,5803.571428571428,0.0,0.0,0.0
154,7th Phase JP Nagar,1100.0,3.0,60.0,2.0,5454.545454545455,0.0,0.0,1.0
155,7th Phase JP Nagar,1790.0,3.0,120.0,3.0,6703.91061452514,0.0,0.0,1.0
156,7th Phase JP Nagar,1680.0,3.0,117.0,3.0,6964.285714285715,0.0,0.0,1.0
157,7th Phase JP Nagar,1050.0,2.0,77.0,2.0,7333.333333333333,0.0,0.0,1.0
158,7th Phase JP Nagar,1050.0,2.0,75.0,2.0,7142.857142857143,0.0,0.0,1.0
159,7th Phase JP Nagar,1040.0,2.0,75.0,2.0,7211.538461538462,0.0,0.0,1.0
160,7th Phase JP Nagar,1400.0,2.0,95.0,3.0,6785.714285714285,0.0,0.0,1.0
161,7th Phase JP Nagar,1800.0,3.0,130.0,3.0,7222.222222222223,0.0,0.0,1.0
162,7th Phase JP Nagar,1050.0,2.0,68.0,2.0,6476.190476190476,0.0,0.0,1.0
163,7th Phase JP Nagar,1000.0,2.0,60.0,2.0,6000.0,0.0,0.0,0.0
164,7th Phase JP Nagar,1680.0,3.0,125.0,3.0,7440.476190476191,0.0,0.0,1.0
165,7th Phase JP Nagar,1050.0,2.0,77.47,2.0,7378.0952380952385,0.0,0.0,1.0
166,7th Phase JP Nagar,1270.0,2.0,80.0,2.0,6299.212598425197,0.0,0.0,1.0
168,7th Phase JP Nagar,1680.0,3.0,122.0,3.0,7261.9047619047615,0.0,0.0,1.0
169,7th Phase JP Nagar,1130.0,2.0,85.0,2.0,7522.123893805309,0.0,0.0,1.0
170,7th Phase JP Nagar,1680.0,3.0,130.0,3.0,7738.0952380952385,0.0,0.0,1.0
171,7th Phase JP Nagar,980.0,2.0,77.44,2.0,7902.040816326531,0.0,0.0,0.0
172,7th Phase JP Nagar,1680.0,3.0,112.0,3.0,6666.666666666667,0.0,0.0,1.0
174,7th Phase JP Nagar,2095.0,3.0,150.0,3.0,7159.904534606205,0.0,0.0,1.0
175,7th Phase JP Nagar,1976.0,3.0,145.0,3.0,7338.056680161943,0.0,0.0,1.0
176,7th Phase JP Nagar,1600.0,2.0,110.0,3.0,6875.0,0.0,0.0,1.0
177,7th Phase JP Nagar,1765.0,3.0,118.0,3.0,6685.552407932011,0.0,0.0,1.0
178,7th Phase JP Nagar,1275.0,2.0,88.0,3.0,6901.9607843137255,0.0,0.0,0.0
179,7th Phase JP Nagar,1450.0,2.0,102.0,3.0,7034.482758620689,0.0,0.0,1.0
180,7th Phase JP Nagar,1575.0,2.0,110.0,3.0,6984.126984126984,0.0,0.0,1.0
182,7th Phase JP Nagar,750.0,1.0,47.0,1.0,6266.666666666667,0.0,0.0,1.0
183,7th Phase JP Nagar,990.0,2.0,50.0,2.0,5050.50505050505,0.0,0.0,1.0
184,7th Phase JP Nagar,1000.0,1.0,60.0,1.0,6000.0,0.0,1.0,0.0
186,7th Phase JP Nagar,1430.0,2.0,102.0,3.0,7132.867132867133,0.0,0.0,1.0
187,7th Phase JP Nagar,1128.0,2.0,60.0,2.0,5319.148936170212,0.0,0.0,1.0
188,7th Phase JP Nagar,1140.0,2.0,57.0,2.0,5000.0,0.0,0.0,0.0
189,7th Phase JP Nagar,1420.0,3.0,90.0,3.0,6338.028169014085,0.0,0.0,1.0
190,7th Phase JP Nagar,1530.0,2.0,108.0,2.0,7058.823529411765,0.0,0.0,1.0
191,8th Phase JP Nagar,1073.5,2.0,54.005,2.0,5030.740568234746,0.0,0.0,1.0
192,8th Phase JP Nagar,451.0,1.0,29.9,1.0,6629.711751662971,0.0,0.0,1.0
194,8th Phase JP Nagar,1062.0,2.0,42.47,2.0,3999.0583804143125,0.0,0.0,1.0
196,8th Phase JP Nagar,1455.0,3.0,73.31,3.0,5038.487972508591,0.0,0.0,1.0
197,8th Phase JP Nagar,871.0,2.0,55.0,2.0,6314.580941446613,0.0,0.0,1.0
198,8th Phase JP Nagar,1098.0,2.0,43.91,2.0,3999.089253187614,0.0,0.0,1.0
199,8th Phase JP Nagar,1800.0,3.0,80.0,3.0,4444.444444444444,0.0,0.0,1.0
200,8th Phase JP Nagar,2700.0,4.0,130.0,4.0,4814.814814814815,0.0,0.0,0.0
201,8th Phase JP Nagar,1080.0,2.0,38.0,2.0,3518.5185185185187,0.0,0.0,1.0
202,8th Phase JP Nagar,1059.0,2.0,34.5,2.0,3257.790368271955,0.0,0.0,1.0
203,8th Phase JP Nagar,1080.0,2.0,35.0,2.0,3240.740740740741,0.0,0.0,1.0
205,8th Phase JP Nagar,1062.0,2.0,42.47,2.0,3999.0583804143125,0.0,0.0,1.0
206,8th Phase JP Nagar,500.0,1.0,31.0,1.0,6200.0,0.0,0.0,1.0
207,8th Phase JP Nagar,1100.0,2.0,35.0,2.0,3181.818181818182,0.0,0.0,1.0
208,8th Phase JP Nagar,2100.0,4.0,92.0,4.0,4380.952380952381,0.0,0.0,1.0
209,8th Phase JP Nagar,1035.0,2.0,39.33,2.0,3800.0,0.0,0.0,1.0
210,8th Phase JP Nagar,909.0,2.0,40.9,2.0,4499.4499449945,0.0,0.0,1.0
211,8th Phase JP Nagar,1431.5,3.0,72.02,3.0,5031.086273140063,0.0,0.0,1.0
212,8th Phase JP Nagar,1900.0,4.0,90.0,3.0,4736.8421052631575,0.0,0.0,0.0
213,8th Phase JP Nagar,500.0,1.0,30.0,1.0,6000.0,0.0,0.0,1.0
214,8th Phase JP Nagar,1125.0,2.0,36.94,2.0,3283.5555555555557,0.0,0.0,1.0
215,8th Phase JP Nagar,1100.0,2.0,35.0,2.0,3181.818181818182,0.0,0.0,1.0
216,8th Phase JP Nagar,1089.0,2.0,43.55,2.0,3999.0817263544536,0.0,0.0,1.0
218,8th Phase JP Nagar,1504.0,2.0,83.0,3.0,5518.617021276596,0.0,0.0,1.0
219,8th Phase JP Nagar,2600.0,4.0,115.0,4.0,4423.076923076923,0.0,0.0,0.0
221,8th Phase JP Nagar,1089.0,2.0,43.55,2.0,3999.0817263544536,0.0,0.0,1.0
223,8th Phase JP Nagar,1513.0,2.0,62.0,2.0,4097.818902842036,0.0,0.0,1.0
224,8th Phase JP Nagar,1298.0,2.0,59.0,2.0,4545.454545454545,0.0,0.0,0.0
225,8th Phase JP Nagar,1006.0,2.0,44.0,2.0,4373.75745526839,0.0,0.0,0.0
226,8th Phase JP Nagar,500.0,1.0,33.0,1.0,6600.0,1.0,0.0,0.0
227,8th Phase JP Nagar,1160.0,2.0,95.0,2.0,8189.6551724137935,0.0,0.0,1.0
228,8th Phase JP Nagar,1245.0,2.0,59.0,2.0,4738.955823293173,0.0,0.0,1.0
229,8th Phase JP Nagar,1510.0,2.0,80.0,2.0,5298.013245033113,0.0,0.0,1.0
230,8th Phase JP Nagar,3300.0,3.0,165.0,3.0,5000.0,0.0,0.0,1.0
231,8th Phase JP Nagar,1730.0,5.0,75.0,5.0,4335.260115606937,0.0,0.0,0.0
234,8th Phase JP Nagar,1046.0,2.0,48.0,2.0,4588.910133843212,0.0,0.0,1.0
236,8th Phase JP Nagar,1408.0,3.0,80.0,3.0,5681.818181818182,0.0,0.0,1.0
238,9th Phase JP Nagar,1005.0,2.0,50.0,2.0,4975.124378109453,0.0,0.0,1.0
240,9th Phase JP Nagar,1100.0,2.0,65.0,2.0,5909.090909090909,0.0,0.0,1.0
241,9th Phase JP Nagar,1080.0,2.0,37.0,2.0,3425.925925925926,0.0,0.0,1.0
242,9th Phase JP Nagar,1035.0,2.0,45.0,2.0,4347.826086956522,0.0,0.0,0.0
243,9th Phase JP Nagar,5000.0,4.0,290.0,4.0,5800.0,0.0,0.0,0.0
244,9th Phase JP Nagar,1164.0,2.0,56.0,2.0,4810.996563573884,0.0,0.0,0.0
245,9th Phase JP Nagar,1005.0,2.0,42.0,2.0,4179.104477611941,0.0,0.0,1.0
246,9th Phase JP Nagar,1127.0,2.0,50.0,2.0,4436.557231588287,0.0,0.0,1.0
247,9th Phase JP Nagar,1005.0,2.0,43.0,2.0,4278.606965174129,0.0,0.0,1.0
248,9th Phase JP Nagar,835.0,2.0,37.0,2.0,4431.137724550898,0.0,0.0,0.0
249,9th Phase JP Nagar,1050.0,2.0,39.0,2.0,3714.285714285714,0.0,0.0,1.0
250,9th Phase JP Nagar,660.0,2.0,27.0,2.0,4090.909090909091,0.0,0.0,1.0
251,9th Phase JP Nagar,600.0,1.0,20.0,1.0,3333.3333333333335,0.0,0.0,0.0
252,9th Phase JP Nagar,1466.0,2.0,71.0,2.0,4843.110504774898,0.0,0.0,1.0
253,9th Phase JP Nagar,1890.0,2.0,93.0,3.0,4920.6349206349205,0.0,0.0,0.0
254,9th Phase JP Nagar,1079.0,2.0,60.0,2.0,5560.704355885079,0.0,0.0,1.0
255,9th Phase JP Nagar,1480.0,2.0,80.0,2.0,5405.405405405405,0.0,0.0,1.0
256,9th Phase JP Nagar,1200.0,2.0,80.0,2.0,6666.666666666667,0.0,1.0,0.0
257,9th Phase JP Nagar,905.0,2.0,32.0,2.0,3535.9116022099447,0.0,0.0,1.0
258,9th Phase JP Nagar,1073.0,2.0,52.36,2.0,4879.77632805219,0.0,0.0,1.0
259,9th Phase JP Nagar,1719.3,2.0,88.0,3.0,5118.362124120282,0.0,0.0,1.0
260,9th Phase JP Nagar,1780.0,3.0,88.0,3.0,4943.820224719101,0.0,0.0,1.0
262,9th Phase JP Nagar,1522.0,3.0,90.0,3.0,5913.272010512484,0.0,0.0,1.0
265,9th Phase JP Nagar,890.0,2.0,45.0,2.0,5056.179775280899,0.0,0.0,0.0
267,9th Phase JP Nagar,5000.0,4.0,300.0,4.0,6000.0,0.0,0.0,0.0
269,9th Phase JP Nagar,1050.0,2.0,35.0,2.0,3333.3333333333335,0.0,0.0,1.0
270,9th Phase JP Nagar,1331.95,2.0,69.0,2.0,5180.374638687638,0.0,0.0,1.0
271,AECS Layout,1100.0,2.0,45.0,2.0,4090.909090909091,0.0,0.0,1.0
272,AECS Layout,1028.0,2.0,42.0,2.0,4085.603112840467,0.0,0.0,1.0
273,AECS Layout,1199.0,2.0,65.0,2.0,5421.184320266889,0.0,0.0,1.0
274,AECS Layout,1080.0,2.0,55.0,2.0,5092.592592592592,0.0,0.0,1.0
275,AECS Layout,1123.0,2.0,64.0,2.0,5699.020480854853,0.0,0.0,1.0
276,AECS Layout,1308.0,2.0,60.0,2.0,4587.155963302752,0.0,0.0,1.0
277,AECS Layout,1005.0,2.0,55.0,2.0,5472.636815920398,0.0,0.0,1.0
279,Abbigere,985.0,2.0,40.39,2.0,4100.507614213198,0.0,0.0,1.0
280,Abbigere,2200.0,6.0,68.0,6.0,3090.909090909091,0.0,0.0,0.0
281,Abbigere,765.0,2.0,30.0,1.0,3921.5686274509803,0.0,0.0,1.0
282,Abbigere,880.0,2.0,35.0,2.0,3977.2727272727275,0.0,0.0,1.0
283,Abbigere,795.0,2.0,32.54,2.0,4093.0817610062895,0.0,0.0,1.0
284,Abbigere,1005.0,2.0,39.59,2.0,3939.303482587065,0.0,0.0,1.0
285,Abbigere,734.0,1.0,19.82,1.0,2700.272479564033,0.0,0.0,1.0
287,Abbigere,1020.0,2.0,41.82,2.0,4100.0,0.0,0.0,1.0
288,Abbigere,985.0,2.0,40.39,2.0,4100.507614213198,0.0,0.0,1.0
289,Abbigere,2500.0,6.0,81.0,6.0,3240.0,0.0,0.0,0.0
290,Abbigere,795.0,2.0,32.54,2.0,4093.0817610062895,0.0,0.0,1.0
291,Abbigere,1130.0,2.0,46.33,2.0,4100.0,0.0,0.0,1.0
292,Abbigere,795.0,1.0,32.6,2.0,4100.62893081761,0.0,0.0,1.0
293,Abbigere,3000.0,8.0,150.0,8.0,5000.0,0.0,0.0,0.0
294,Abbigere,985.0,2.0,38.92,2.0,3951.269035532995,0.0,0.0,1.0
295,Abbigere,1000.0,2.0,41.0,2.0,4100.0,0.0,0.0,1.0
296,Abbigere,995.0,2.0,40.8,2.0,4100.5025125628135,0.0,0.0,1.0
297,Abbigere,1020.0,2.0,40.8,2.0,3999.9999999999995,0.0,0.0,1.0
298,Akshaya Nagar,1388.0,2.0,57.0,2.0,4106.628242074928,0.0,0.0,1.0
299,Akshaya Nagar,1070.0,2.0,54.0,2.0,5046.728971962617,0.0,0.0,1.0
300,Akshaya Nagar,1280.0,2.0,58.0,2.0,4531.25,0.0,0.0,0.0
301,Akshaya Nagar,1662.0,3.0,85.1,3.0,5120.336943441636,0.0,0.0,0.0
302,Akshaya Nagar,1897.0,3.0,120.0,3.0,6325.77754348972,0.0,0.0,1.0
303,Akshaya Nagar,1410.0,2.0,75.0,3.0,5319.148936170212,0.0,0.0,1.0
304,Akshaya Nagar,1360.0,2.0,85.0,3.0,6250.0,0.0,0.0,1.0
306,Akshaya Nagar,1410.0,2.0,80.0,3.0,5673.758865248227,0.0,0.0,1.0
307,Akshaya Nagar,1662.0,3.0,85.0,3.0,5114.320096269555,0.0,0.0,0.0
308,Akshaya Nagar,1662.0,3.0,85.5,3.0,5144.404332129964,0.0,0.0,0.0
309,Akshaya Nagar,1280.0,2.0,60.0,2.0,4687.5,0.0,0.0,0.0
310,Akshaya Nagar,1666.0,3.0,95.0,3.0,5702.280912364946,0.0,0.0,0.0
311,Akshaya Nagar,1575.0,3.0,90.0,3.0,5714.285714285715,0.0,0.0,1.0
312,Akshaya Nagar,1430.0,2.0,75.0,3.0,5244.755244755244,0.0,0.0,1.0
313,Akshaya Nagar,1419.0,2.0,73.0,3.0,5144.46793516561,0.0,0.0,0.0
314,Akshaya Nagar,1280.0,2.0,60.0,2.0,4687.5,0.0,0.0,1.0
315,Akshaya Nagar,1200.0,2.0,50.0,2.0,4166.666666666667,0.0,0.0,1.0
316,Akshaya Nagar,1092.0,2.0,60.0,2.0,5494.505494505494,0.0,0.0,1.0
317,Akshaya Nagar,1690.0,3.0,85.0,3.0,5029.585798816568,0.0,0.0,1.0
319,Akshaya Nagar,1897.0,4.0,93.0,3.0,4902.477596204533,0.0,0.0,1.0
320,Akshaya Nagar,1884.0,3.0,98.0,3.0,5201.698513800425,0.0,0.0,1.0
